表演者,歌名,类别
白日然珠,三区骏马,对歌
班措,出嫁姑娘,情歌
谢旦&巴赞·达吉,牧野情歌,情歌
三智才让&启央金,君问,情歌
勒毛措&旦增加,格桑花,情歌
白玉扎西,游子吟,山歌
欧智卓玛,生命的诺言,道歌
三智才让,恋人,情歌
才巴永吉,我们高贵的少女,情歌
岗嘎措,人生,道歌
卓玛加,雄鹰的歌,山歌
丹真罗布,家·院子,山歌
泽旺拉姆,忠言,山歌
索朗益西,心中的嘎昌都,朝圣歌
泽旺拉姆,慈母之爱,山歌
泽旺拉姆,心性,道歌
仁青卓么,一叶素心,道歌
泽旺拉姆,月光仙女,情歌
勒毛措,农家阿姐,情歌
卓玛央宗&罗布桑珠,一世情缘,情歌
勒毛措,心的归宿,情歌
岗坚巴·卓玛加&班措,世间和谐至上,对歌
霍尔仓·拉浪措,家乡,山歌
扎西平措,三口一杯,酒歌
完玛三智,鄂拉山,山歌
齐旦布,爱在羊茸山水间,山歌
罗布桑珠,怦然心动,情歌
旺姆,思念,山歌
旦正才让,梦的翅膀,山歌
白玉扎西,阿若康巴,朝圣歌
雪龙珠扎,琼露清韵,朝圣歌
霍尔仓·拉浪措,捧茶迎贵人,欢庆歌
索扎,不要怕,儿歌
罗布桑珠,梦,山歌
桑杰才让,才仁罗嘉,欢庆歌
央金拉姆,真爱如画,情歌
冰雪姐妹,岗尖之宝,山歌
旺卓措,格桑啦,朝圣歌
次仁拉吉,罗萨,朝圣歌
泽旺拉姆,平措霖,朝圣歌
拉吉,挤奶歌声,山歌
扎西平措,阿妈的手,儿歌
冰雪姐妹,空中的群星,山歌
索朗旺玖,老师,儿歌
嘉央,三朵花,儿歌
索扎,相信自己,儿歌
才巴永吉,有缘恋人,情歌
拉吉,锅庄,欢庆歌
格杰白玛,音韵之海,欢庆歌
才旺罗布,青春,欢庆歌
德吉才仁,朗格博,山歌
谢旦,格桑亚卓,山歌
阿斯根&德吉老爷,嘉绒玛,对歌
谢旦&拉姆才吉,爱慕之心,对歌
贡保东智&扎西卓玛,欢聚的歌,对歌
南措,春之歌,欢庆歌
扎西顿珠,福缘藏家,欢庆歌
扎西尼玛,金色马鞍,山歌
谢旦&索南曲珍,锅庄起舞,欢庆歌
三智才让,夙愿,山歌
扎西拉宗,屋前香柏树,儿歌
次仁央宗&西热扎巴,圆梦羌塘,对歌
谢旦&索南曲珍,美的许愿,对歌
亚东,煨桑,朝圣歌
谢旦&班措,众生缘法愈好,对歌
冰雪姐妹,平凡的人,山歌
宋·阿依姆,你是我们最亲的人,山歌
